,LKSPOMET_ATemp,LKSBAWQ_Sal,LKSBAWQ_Depth,LKSBAWQ_pH,LKSPOMET_TotPrcp,LKSBAWQ_Turb
0,23.9,0.1,1.49,7.8,0.0,15
1,24.0,0.1,1.51,7.8,0.0,15
2,23.9,0.1,1.53,7.8,0.0,15
3,24.2,0.1,1.55,7.8,0.0,14
4,24.4,0.1,1.58,7.8,0.0,15
5,24.4,0.1,1.58,7.8,0.0,14
6,24.3,0.1,1.58,7.8,0.0,15
7,24.7,0.1,1.57,7.9,0.0,14
8,24.4,0.1,1.59,7.8,0.0,13
9,24.4,0.1,1.60,7.9,0.0,13
10,24.1,0.1,1.60,7.9,0.0,12
11,24.1,0.1,1.61,7.9,0.0,13
12,24.2,0.1,1.58,7.9,0.0,13
13,24.6,0.1,1.62,7.9,0.0,13
14,24.7,0.1,1.60,7.9,0.0,14
15,24.8,0.1,1.58,7.9,0.0,11
16,24.7,0.1,1.60,7.8,0.0,12
17,24.4,0.1,1.58,7.9,0.0,12
18,24.2,0.1,1.54,7.9,0.0,13
19,24.1,0.1,1.53,7.9,0.0,12
20,24.2,0.1,1.48,7.9,0.0,12
21,24.2,0.1,1.46,7.9,0.0,12
22,24.1,0.1,1.46,7.9,0.0,11
23,23.9,0.1,1.47,7.9,0.0,12
24,23.6,0.1,1.48,7.9,0.0,12
25,22.8,0.1,1.51,7.9,0.0,11
26,22.4,0.1,1.51,7.9,0.0,12
27,22.9,0.1,1.54,7.9,0.0,11
28,23.3,0.1,1.54,7.9,0.0,11
29,22.9,0.1,1.56,7.9,0.0,11
30,22.2,0.1,1.63,7.9,0.0,11
31,21.5,0.1,1.65,7.8,0.0,11
32,22.0,0.1,1.70,7.8,0.0,12
33,22.0,0.1,1.68,7.8,0.0,11
34,21.4,0.1,1.67,7.8,0.0,12
35,20.6,0.1,1.65,7.8,0.0,11
36,19.8,0.1,1.64,7.8,0.0,11
37,15.4,0.1,1.66,7.8,0.0,11
38,12.3,0.1,1.68,7.8,0.0,11
39,11.5,0.1,1.71,7.8,0.0,11
40,11.2,0.1,1.71,7.8,0.0,12
41,11.2,0.1,1.71,7.8,0.0,12
42,11.1,0.1,1.68,7.8,0.0,12
43,10.7,0.1,1.66,7.8,0.0,12
44,10.3,0.1,1.67,7.8,0.0,12
45,10.0,0.1,1.69,7.9,0.0,16
46,9.5,0.1,1.71,7.9,0.0,17
47,9.2,0.1,1.70,7.9,0.0,18
48,9.1,0.1,1.68,7.9,0.0,25
49,8.8,0.1,1.64,7.9,0.0,21
50,8.4,0.1,1.60,7.9,0.0,19
51,8.2,0.1,1.61,7.9,0.0,18
52,8.0,0.1,1.57,7.9,0.0,25
53,7.8,0.1,1.58,7.9,0.0,19
54,7.6,0.1,1.56,7.9,0.0,18
55,7.5,0.1,1.58,7.9,0.0,18
56,7.3,0.1,1.57,7.9,0.0,18
57,7.2,0.1,1.61,7.9,0.0,18
58,7.1,0.1,1.66,7.9,0.0,18
59,7.1,0.1,1.66,7.8,0.0,17
60,7.1,0.1,1.67,7.8,0.0,14
61,7.0,0.1,1.70,7.8,0.0,19
62,7.0,0.1,1.70,7.8,0.0,14
63,7.0,0.1,1.75,7.8,0.0,16
64,6.9,0.1,1.74,7.8,0.0,15
65,6.9,0.1,1.69,7.8,0.0,14
66,6.9,0.1,1.71,7.8,0.0,15
67,6.9,0.1,1.71,7.8,0.0,14
68,6.8,0.1,1.70,7.8,0.0,14
69,6.7,0.1,1.75,7.8,0.0,14
70,6.7,0.1,1.78,7.8,0.0,14
71,6.8,0.1,1.76,7.8,0.0,14
72,7.0,0.1,1.76,7.8,0.0,14
73,7.1,0.1,1.75,7.8,0.0,14
74,7.1,0.1,1.79,7.8,0.0,14
75,7.1,0.1,1.77,7.8,0.0,14
76,7.2,0.1,1.73,7.8,0.0,14
77,7.3,0.1,1.73,7.8,0.0,14
78,7.4,0.1,1.72,7.8,0.0,14
79,7.3,0.1,1.71,7.8,0.0,12
80,7.3,0.1,1.67,7.8,0.0,14
81,7.4,0.1,1.61,7.8,0.0,14
82,7.6,0.1,1.59,7.9,0.0,14
83,7.6,0.1,1.59,7.9,0.0,13
84,7.8,0.1,1.56,7.9,0.0,14
85,7.7,0.1,1.61,7.9,0.0,14
86,7.6,0.1,1.63,7.9,0.0,14
87,7.8,0.1,1.61,7.9,0.0,14
88,8.1,0.1,1.62,7.9,0.0,13
89,7.9,0.1,1.65,7.9,0.0,14
90,7.5,0.1,1.70,7.9,0.0,13
91,7.7,0.1,1.68,7.9,0.0,14
92,7.7,0.1,1.72,7.9,0.0,17
93,7.4,0.1,1.73,7.9,0.0,13
94,7.6,0.1,1.72,7.9,0.0,14
95,7.7,0.1,1.76,8.0,0.0,15
96,7.5,0.1,1.77,7.9,0.0,13
97,7.2,0.1,1.80,8.0,0.0,13
98,7.5,0.1,1.79,7.9,0.0,14
99,7.5,0.1,1.75,8.0,0.0,14
100,7.6,0.1,1.75,8.0,0.0,13
101,7.6,0.1,1.76,8.0,0.0,14
102,7.6,0.1,1.81,8.0,0.0,14
103,7.3,0.1,1.75,7.9,0.0,13
104,7.0,0.1,1.70,7.9,0.0,13
105,6.7,0.1,1.68,7.9,0.0,13
106,6.4,0.1,1.66,7.9,0.0,13
107,6.3,0.1,1.66,8.0,0.0,13
108,6.3,0.1,1.67,8.0,0.0,14
109,6.3,0.1,1.68,8.0,0.0,13
110,6.3,0.1,1.64,8.0,0.0,15
111,6.4,0.1,1.62,8.0,0.0,13
112,6.2,0.1,1.60,8.0,0.0,14
113,6.1,0.1,1.57,8.0,0.0,13
114,5.9,0.1,1.53,8.0,0.0,15
115,5.8,0.1,1.54,8.0,0.0,14
116,5.7,0.1,1.55,8.0,0.0,14
117,5.7,0.1,1.57,8.0,0.0,14
118,5.6,0.1,1.55,8.0,0.0,14
119,5.7,0.1,1.59,8.0,0.0,14
